Timepoint,protein_001,protein_002,protein_003,protein_004,protein_005,protein_006,protein_007,protein_008,protein_009,protein_010
3.85922,16.004606,15.616297,15.606396,15.532975,15.166197,15.139979,15.103243,14.849562,15.865935,15.735654
3.86642,16.01191,15.635043,15.631246,15.566204,15.1922,15.166427,15.124153,14.881289,15.865126,15.747381
3.87362,16.023285,15.662119,15.662425,15.604392,15.22412,15.198766,15.150471,14.917541,15.869031,15.765858
3.88082,16.037904,15.695952,15.698955,15.646328,15.260968,15.235194,15.181487,14.957569,15.876824,15.789911
3.88802,16.054262,15.734583,15.739403,15.691075,15.302012,15.273852,15.216243,15.000244,15.88796,15.818617
3.89522,16.071529,15.775792,15.780764,15.736874,15.34538,15.312464,15.252884,15.04369,15.901016,15.849856
3.90242,16.088764,15.817467,15.819632,15.78212,15.388183,15.348983,15.28905,15.086006,15.914632,15.88097
3.90963,16.104486,15.857783,15.854276,15.825323,15.427754,15.38283,15.323874,15.126224,15.927909,15.909942
3.91683,16.117271,15.895154,15.884104,15.864991,15.462287,15.41429,15.356889,15.162684,15.939874,15.935398
3.92403,16.126727,15.928235,15.907721,15.899724,15.490402,15.443221,15.386848,15.193921,15.949935,15.955808
3.93123,16.133098,15.955775,15.923894,15.9275,15.511732,15.469121,15.412371,15.219992,15.958424,15.97042
3.93843,16.136908,15.976295,15.932985,15.946979,15.527265,15.491661,15.433198,15.241275,15.965848,15.9798
3.94563,16.13889,15.989348,15.936787,15.959597,15.538212,15.510469,15.450442,15.258301,15.972956,15.985633
3.95283,16.140327,15.996061,15.937516,15.968144,15.545781,15.525908,15.46515,15.272507,15.980625,15.989383
3.96003,16.14242,15.998287,15.937207,15.974334,15.551549,15.539577,15.478443,15.285461,15.990123,15.992714
3.96723,16.145423,15.998466,15.937937,15.979058,15.556776,15.554005,15.49236,15.298096,16.00284,15.997899
3.97443,16.149518,15.999705,15.942229,15.983757,15.563037,15.571146,15.508875,15.311426,16.019408,16.007259
3.98163,16.156042,16.004571,15.951664,15.990198,15.571756,15.59219,15.528688,15.326779,16.039155,16.022371
3.98883,16.166283,16.0145,15.966249,15.999639,15.584215,15.618113,15.552065,15.345783,16.061251,16.043933
3.99603,16.180961,16.030723,15.985661,16.012264,15.60124,15.649483,15.580019,15.370346,16.085481,16.072005
4.00323,16.199944,16.053818,16.010174,16.028936,15.623556,15.686097,15.612448,15.400692,16.111705,16.106008
4.01043,16.223278,16.08327,16.039335,16.05168,15.650734,15.726905,15.648597,15.435498,16.140102,16.144585
4.01763,16.250491,16.117201,16.071319,16.080634,15.681281,15.770747,15.687767,15.473472,16.170512,16.185972
4.02483,16.280195,16.154232,16.104012,16.112538,15.71349,15.815691,15.729368,15.512989,16.202292,16.228169
4.03203,16.310057,16.192657,16.135481,16.143975,15.745774,15.858733,15.771858,15.551022,16.232894,16.269023
4.03923,16.33797,16.229898,16.163318,16.172913,15.776685,15.896912,15.813741,15.585005,16.25877,16.305764
4.04643,16.361348,16.262366,16.18433,16.196766,15.804054,15.928011,15.85279,15.613162,16.276555,16.335972
4.05363,16.377167,16.287601,16.195897,16.211772,15.825405,15.950335,15.88583,15.633156,16.284346,16.357359
4.06083,16.384031,16.303329,16.196207,16.215752,15.838494,15.961851,15.909372,15.642255,16.281459,16.368209
4.06803,16.381545,16.306903,16.184296,16.208232,15.841295,15.961538,15.921007,15.638478,16.268385,16.36715
4.07523,16.368679,16.296043,16.160069,16.188833,15.831322,15.949053,15.919063,15.621274,16.246248,16.35337
4.08243,16.344533,16.270524,16.123811,16.156294,15.806849,15.924098,15.902983,15.591343,16.215552,16.32628
4.08963,16.308821,16.23195,16.076068,16.110467,15.768782,15.886616,15.87344,15.550113,16.1764,16.286692
4.09683,16.26131,16.182245,16.018279,16.052596,15.71983,15.837965,15.831241,15.498696,16.128482,16.235745
4.10403,16.202799,16.122587,15.95195,15.984976,15.662137,15.780508,15.777515,15.439153,16.071795,16.174399
4.11123,16.135864,16.054614,15.878143,15.909701,15.596854,15.715584,15.713198,15.37441,16.00738,16.104195
